bufferSize downloadTime fileSize fileName
33554432 11208 3247297 kitten.png
33554432 11385 3247297 kitten.png
33554432 10803 3247297 kitten.png
33554432 96233 3247297 kitten.png
33554432 12032 3247297 kitten.png
33554432 9411 3247297 kitten.png
33554432 11395 3247297 kitten.png
33554432 10800 3247297 kitten.png
33554432 8056 3247297 kitten.png
33554432 91451 3247297 kitten.png
33554432 9456 3247297 kitten.png
33554432 9916 3247297 kitten.png
33554432 13919 3247297 kitten.png
33554432 17401 3247297 kitten.png
67108864 9684 3247297 kitten.png
67108864 89957 3247297 kitten.png
67108864 9780 3247297 kitten.png
67108864 10708 3247297 kitten.png
67108864 10497 3247297 kitten.png
67108864 16061 3247297 kitten.png
67108864 12607 3247297 kitten.png
67108864 105907 3247297 kitten.png
67108864 14488 3247297 kitten.png
67108864 9988 3247297 kitten.png
67108864 8905 3247297 kitten.png
67108864 12433 3247297 kitten.png
67108864 12336 3247297 kitten.png
67108864 86363 3247297 kitten.png
67108864 8200 3247297 kitten.png
67108864 12785 3247297 kitten.png
67108864 12994 3247297 kitten.png
67108864 10189 3247297 kitten.png
67108864 8656 3247297 kitten.png
67108864 96756 3247297 kitten.png
134217728 10533 3247297 kitten.png
134217728 9776 3247297 kitten.png
134217728 8276 3247297 kitten.png
134217728 10293 3247297 kitten.png
134217728 10279 3247297 kitten.png
134217728 117106 3247297 kitten.png
134217728 16464 3247297 kitten.png
134217728 18224 3247297 kitten.png
134217728 18208 3247297 kitten.png
134217728 16923 3247297 kitten.png
134217728 11114 3247297 kitten.png
134217728 57997 3247297 kitten.png
134217728 15607 3247297 kitten.png
134217728 11228 3247297 kitten.png
134217728 7992 3247297 kitten.png
134217728 10675 3247297 kitten.png
134217728 13358 3247297 kitten.png
134217728 98926 3247297 kitten.png
134217728 11710 3247297 kitten.png
134217728 11378 3247297 kitten.png
